"Owner.Sales.Role.Region","Is.Deal.Registration","Billing.Country","Cloud.Data.Platform","Cloud.Provider","Stage","Opportunity.Record.Type","Plan.Type","Lead.Source","Opportunity.ARR","Amount..ACV..Currency","Amount..ACV.","Created.Date","Close.Date","Age","Days.in.Free.Trial","Days.in.Current.Stage","Free.Trial.","Trial.End.Date","Loss.Reason","Opportunity.Source","year"
"EAE - NA East",0,"United States","Snowflake","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"USD",35000,"9/9/2021","11/22/2021",74,NA,101,0,"","Timing","Outbound SDR","2021"
"CAM - NA",0,"United States","","","7 - Closed Lost","BigQuery Opportunity","","Website",NA,"USD",10000,"10/28/2021","12/7/2021",40,NA,101,0,"","Unable to contact","Sales","2021"
"CAE - RoW",1,"Netherlands","Evaluating CDP","","7 - Closed Lost","New Logo","PayGo","Consulting Partner",NA,"",NA,"11/30/2021","3/25/2022",115,NA,55,0,"","Change in Project Scope","Partner","2021"
"EAE - RoW EMEA/APAC",1,"Netherlands","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Consulting Partner",0,"USD",60000,"1/6/2021","3/31/2021",84,55,101,1,"5/14/2021","","Partner","2021"
"EAE - NA West",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",0,"",NA,"11/4/2021","2/4/2022",92,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
"CAE - RoW",1,"Belgium","Snowflake","Azure","8 - Closed Won","New Logo","PayGo","Consulting Partner",209,"USD",5360.21,"12/7/2021","4/26/2022",140,NA,23,1,"3/17/2022","","Partner","2021"
"EAE - NA East",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Paid",NA,"USD",10000,"6/21/2021","10/28/2022",332,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - RoW UK",0,"United Kingdom","BigQuery","","7 - Closed Lost","Techno-company Data Loader Opportunity","","Drift",NA,"USD",10000,"6/3/2021","6/21/2021",18,NA,101,0,"","Lost to Competitor","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Sales Prospecting",14691,"USD",65000,"8/23/2021","11/19/2021",88,25,101,1,"10/14/2021","","Outbound SDR","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","1 - Identified","New Logo","","Organic",NA,"USD",30000,"10/21/2021","11/30/2022",210,NA,101,0,"","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"Finland","Snowflake","AWS","1 - Identified","Expansion","","Sales Prospecting",NA,"USD",30000,"11/30/2021","7/31/2022",170,NA,101,0,"","","Sales","2021"
"EAE - NA West",0,"United States","Redshift","","8 - Closed Won","Redshift Opportunity","Contract","Organic",0,"USD",50983.2,"2/22/2021","12/17/2021",298,3,101,1,"1/4/2022","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",1,"Finland","Redshift","","7 - Closed Lost","Unspecified Opportunity","","Consulting Partner",NA,"",NA,"2/1/2021","8/19/2021",199,NA,101,0,"","Unable to contact","Partner","2021"
"EAE - NA West",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",10000,"10/21/2021","5/9/2022",200,NA,10,0,"","Budget","Outbound SDR","2021"
"CAE - NA Southeast",0,"United States","Snowflake","Azure","8 - Closed Won","New Logo","Contract","Event",0,"USD",18700,"12/14/2021","2/15/2022",63,16,93,1,"2/4/2022","","Inbound SDR/Marketing","2021"
"CAM - NA",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Event",NA,"USD",10000,"8/13/2021","1/25/2022",165,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - RoW UK",1,"United Kingdom","Snowflake","AWS","3 - Champion Confirmed","Expansion","Contract","Consulting Partner",NA,"USD",30000,"10/20/2021","7/29/2022",211,NA,93,0,"","","Partner","2021"
"CAE - RoW",0,"Norway","Snowflake","AWS","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Website",0,"USD",25560,"1/4/2022","1/14/2022",10,NA,101,1,"1/11/2022","","Sales","2022"
"",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Sales Prospecting",NA,"USD",10000,"6/30/2021","9/14/2021",76,NA,101,0,"","Lost Champion","Sales","2021"
"EAE - RoW EMEA/APAC",0,"","Snowflake","AWS","1 - Identified","New Logo","","Sales Prospecting",NA,"USD",10000,"5/17/2021","12/28/2022",367,NA,101,0,"","","Sales","2021"
"CAE - NA Central",0,"United States","Snowflake","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",5000,"10/21/2021","3/9/2022",139,NA,71,0,"","Timing","Sales","2021"
"CAE - RoW",0,"United Kingdom","Snowflake","AWS","7 - Closed Lost","New Logo","","Organic",NA,"USD",3000,"12/16/2021","3/31/2022",105,NA,49,0,"","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - RoW UK",1,"United Kingdom","Redshift","AWS","7 - Closed Lost","Expansion","Contract","Consulting Partner",NA,"USD",80000,"6/21/2021","4/22/2022",305,NA,27,0,"","Unable to contact","Partner","2021"
"EAE - RoW EMEA/APAC",0,"Germany","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"3/19/2021","12/10/2021",266,NA,101,0,"","Unable to contact","Outbound SDR","2021"
"CAM - NA",1,"Canada","","","8 - Closed Won","Snowflake on AWS Opportunity","Contract","Marketplace",59272,"USD",90000,"1/25/2021","5/31/2021",126,21,101,1,"5/10/2021","","Inbound SDR/Marketing","2021"
"Other",0,"Canada","Redshift","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"3/24/2022","4/28/2022",35,NA,21,0,"","Unable to contact","Inbound SDR/Marketing","2022"
"CAE - NA Northwest",1,"United States","Snowflake","Azure","2 - Trial","New Logo","Contract","Consulting Partner",NA,"USD",30000,"1/10/2022","6/30/2022",129,NA,6,1,"5/30/2022","","Partner","2022"
"",0,"United States","","","7 - Closed Lost","Unspecified Opportunity","","Sales Prospecting",NA,"",NA,"2/22/2021","3/10/2021",16,NA,101,0,"","Timing","Sales","2021"
"CAE - RoW",0,"Australia","Snowflake","Azure","7 - Closed Lost","Synapse Opportunity","","Organic",NA,"USD",10000,"5/11/2021","7/1/2021",51,51,101,1,"5/11/2021","Unable to contact","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"France","","","1 - Identified","New Logo","","Organic",NA,"USD",1,"3/23/2022","12/30/2022",57,NA,27,0,"","","Inbound SDR/Marketing","2022"
"Other",0,"United Kingdom","Snowflake","AWS","1 - Identified","Demo/Test License","","Organic",16340,"",NA,"10/18/2021","1/14/2022",213,NA,101,0,"","","Sales","2021"
"CAE - RoW",0,"United Kingdom","BigQuery","GCP","7 - Closed Lost","New Logo","Contract","Organic",0,"USD",20000,"1/14/2022","2/14/2022",31,7,94,1,"2/2/2022","Lost to Competitor","Inbound SDR/Marketing","2022"
"EAE - RoW UK",1,"United Kingdom","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Consulting Partner",111713,"USD",25000,"2/22/2021","11/17/2021",268,103,101,1,"5/28/2021","","Partner","2021"
"EAE - NA East",0,"United States","","","7 - Closed Lost","Snowflake on AWS Opportunity","","Organic",NA,"USD",50000,"5/12/2021","8/4/2021",84,NA,101,0,"","Lost to Competitor","Sales","2021"
"CAM - NA",0,"United States","Redshift","","1 - Identified","Expansion","","",NA,"USD",10000,"10/20/2021","5/31/2022",211,NA,101,0,"","","Sales","2021"
"CAE - RoW",1,"Australia","Snowflake","AWS","7 - Closed Lost","New Logo","","Consulting Partner",NA,"USD",2000,"12/8/2021","5/18/2022",161,NA,1,0,"","Unable to contact","Partner","2021"
"EAE - RoW UK",1,"United Kingdom","Snowflake","","8 - Closed Won","New Logo","Contract","Organic",99190,"USD",81641,"5/12/2021","3/31/2022",323,NA,49,1,"3/30/2022","","Inbound SDR/Marketing","2021"
"CAE - RoW",0,"Germany","Snowflake","","8 - Closed Won","Snowflake on AWS Opportunity","PayGo","Organic",6645,"USD",10000,"7/26/2021","9/30/2021",66,9,101,1,"9/7/2021","","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"France","Snowflake","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"",NA,"1/28/2021","10/5/2021",250,NA,101,0,"","Staying with Incumbent Solution","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","","","7 - Closed Lost","Renewal","Contract","",NA,"USD",0,"3/24/2022","3/31/2022",7,NA,49,0,"","Duplicate","Sales","2022"
"EAE - NA East",1,"United States","Redshift","","1 - Identified","Expansion","Contract","",NA,"USD",35000,"12/8/2021","6/30/2022",162,NA,101,0,"","","Sales","2021"
"EAE - NA Central",0,"United States","Other","","7 - Closed Lost","Snowflake on AWS Opportunity","","Techno-company Data Loader",NA,"USD",35000,"1/20/2021","7/26/2021",187,NA,101,0,"","Timing","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"Canada","","","7 - Closed Lost","Unspecified Opportunity","","Paid",NA,"",NA,"9/9/2021","9/20/2021",11,NA,101,0,"","Budget","Inbound SDR/Marketing","2021"
"EAE - RoW EMEA/APAC",0,"France","BigQuery","","8 - Closed Won","BigQuery Opportunity","PayGo","Organic",55426,"USD",50000,"11/5/2021","12/15/2021",40,25,101,1,"3/27/2022","","Inbound SDR/Marketing","2021"
"EAE - NA Central",0,"United States","Redshift","AWS","7 - Closed Lost","New Logo","","Sales Prospecting",NA,"USD",53000,"12/21/2021","3/21/2022",90,NA,59,0,"","Timing","Outbound SDR","2021"
"EAE - RoW EMEA/APAC",0,"New Zealand","","","7 - Closed Lost","Synapse Opportunity","","Sales Prospecting",NA,"",NA,"2/22/2021","12/30/2021",311,NA,101,0,"","Change in Project Scope","Outbound SDR","2021"
